,都道府県名,市区町村名,名称,団体名,緯度,経度,小児対応設備の有無
0,東京都,江東区,有明西学園,,35.637038,139.784381,
1,東京都,江東区,有明スポーツセンター,,35.633206,139.78381,
2,東京都,江東区,有明小学校,,35.640466,139.795945,
3,東京都,江東区,有明中学校,,35.640432,139.79597,
4,東京都,江東区,扇橋小学校,,35.681289,139.811726,
5,東京都,江東区,深川南部保健相談所,,35.65741,139.801936,
6,東京都,江東区,枝川幼稚園,,35.659457,139.808627,
7,東京都,江東区,枝川小学校,,35.659637,139.8092,
8,東京都,江東区,枝川区民館,,35.658283,139.810623,
9,東京都,江東区,深川スポーツセンター,,35.67046,139.79171,
10,東京都,江東区,越中島プール,,35.668757,139.789629,
11,東京都,江東区,越中島小学校,,35.665863,139.796232,
12,東京都,江東区,深川第三中学校,,35.666455,139.795588,
13,東京都,江東区,小松橋出張所,,35.682687,139.814261,
14,東京都,江東区,障害者福祉センター,,35.682729,139.820344,
15,東京都,江東区,つばめ幼稚園,,35.684364,139.818924,
16,東京都,江東区,男女共同参画推進センター,,35.68413,139.82016,
17,東京都,江東区,第一大島小学校,,35.68992,139.825602,
18,東京都,江東区,城東保健相談所,,35.689997,139.827632,
19,東京都,江東区,第二大島小学校,,35.690175,139.829854,
20,東京都,江東区,第二大島中学校,,35.691654,139.831116,
21,東京都,江東区,大島西中学校,,35.686324,139.827748,
22,東京都,江東区,大島子ども家庭支援センター,,35.687359,139.828182,
23,東京都,江東区,大島第二保育園,,35.687102,139.830333,
24,東京都,江東区,総合区民センター,,35.689028,139.826985,
25,東京都,江東区,大島福祉会館,,35.689028,139.826985,
26,東京都,江東区,大島南央小学校,,35.68724,139.831702,
27,東京都,江東区,大島第五保育園,,35.686198,139.832066,
28,東京都,江東区,シルバー人材センター大島作業所,,35.685944,139.833237,
29,東京都,江東区,大島幼稚園,,35.687186,139.835941,
30,東京都,江東区,大島保育園,,35.686947,139.837372,
31,東京都,江東区,大島第三保育園,,35.693436,139.833229,
32,東京都,江東区,第四大島小学校,,35.690983,139.83444,
33,東京都,江東区,大島高齢者在宅サービスセンター,,35.693,139.836305,
34,東京都,江東区,大島児童館,,35.693272,139.840249,
35,東京都,江東区,第三大島幼稚園,,35.691363,139.843753,
36,東京都,江東区,大島第四保育園,,35.687262,139.838939,
37,東京都,江東区,大島中学校,,35.686446,139.839616,
38,東京都,江東区,東大島文化センター,,35.689781,139.842444,
39,東京都,江東区,第五大島小学校,,35.688344,139.84448,
40,東京都,江東区,中川船番所資料館,,35.687677,139.846285,
41,東京都,江東区,東大島図書館,,35.690997,139.845787,
42,東京都,江東区,第三大島小学校,,35.692591,139.845092,
