,都道府県名,市区町村名,名称,団体名,緯度,経度,小児対応設備の有無
0,東京都,町田市,町田市庁舎,町田市,35.54663719,139.4386429,有
1,東京都,町田市,町田市庁舎,町田市,35.54663719,139.4386429,有
2,東京都,町田市,町田市庁舎,町田市,35.54663719,139.4386429,有
3,東京都,町田市,町田市庁舎,町田市,35.54663719,139.4386429,有
4,東京都,町田市,町田市庁舎,町田市,35.54663719,139.4386429,有
5,東京都,町田市,町田市民フォーラム,町田市,35.54177214,139.4499438,有
6,東京都,町田市,成瀬コミュニティセンター,町田市,35.54362029,139.4728812,有
7,東京都,町田市,木曽森野コミュニティセンター,町田市,35.55509968,139.4285457,有
8,東京都,町田市,つくし野コミュニティセンター,町田市,35.52709788,139.4846758,有
9,東京都,町田市,三輪コミュニティセンター,町田市,35.57716197,139.493127,有
10,東京都,町田市,木曽山崎コミュニティセンター,町田市,35.5685921,139.4367405,有
11,東京都,町田市,上小山田コミュニティセンター,町田市,35.59484007,139.3983627,無
12,東京都,町田市,玉川学園コミュニティセンター,町田市,35.56373256,139.4626811,有
13,東京都,町田市,町田駅前連絡所,町田市,35.5444537,139.4458213,有
14,東京都,町田市,忠生市民センター,町田市,35.57844903,139.4160658,有
15,東京都,町田市,鶴川市民センター,町田市,35.58886858,139.4673957,有
16,東京都,町田市,南市民センター,町田市,35.52375397,139.4667849,有
17,東京都,町田市,なるせ駅前市民センター,町田市,35.53679762,139.4730119,有
18,東京都,町田市,堺市民センター,町田市,35.60426226,139.3333939,有
19,東京都,町田市,小山市民センター,町田市,35.59714914,139.3689941,有
20,東京都,町田市,町田市民ホール,町田市,35.54641003,139.4395229,有
21,東京都,町田市,市立博物館,町田市,35.56732763,139.4512262,有
22,東京都,町田市,和光大学ポプリホール鶴川,町田市,35.58282711,139.4789096,有
23,東京都,町田市,市立総合体育館,町田市,35.53616143,139.4791437,有
24,東京都,町田市,市立総合体育館,町田市,35.53616143,139.4791437,有
25,東京都,町田市,市立総合体育館,町田市,35.53616143,139.4791437,有
26,東京都,町田市,市立総合体育館,町田市,35.53616143,139.4791437,有
