,年齢階級,運動習慣の有無,性別,歩行数,時間軸(年次),人数
0,20歳-29歳,有,総数,"10,000歩以上",2010年,12.0
1,20歳-29歳,有,総数,"2,000歩-3,999歩",2010年,6.0
2,20歳-29歳,有,総数,"2,000歩未満",2010年,2.0
3,20歳-29歳,有,総数,"4,000歩-5,999歩",2010年,5.0
4,20歳-29歳,有,総数,"6,000歩-7,999歩",2010年,14.0
5,20歳-29歳,有,総数,"8,000歩-9,999歩",2010年,5.0
6,20歳-29歳,有,総数,総数,2010年,44.0
7,20歳-29歳,無,総数,"10,000歩以上",2010年,40.0
8,20歳-29歳,無,総数,"2,000歩-3,999歩",2010年,33.0
9,20歳-29歳,無,総数,"2,000歩未満",2010年,15.0
10,20歳-29歳,無,総数,"4,000歩-5,999歩",2010年,46.0
11,20歳-29歳,無,総数,"6,000歩-7,999歩",2010年,39.0
12,20歳-29歳,無,総数,"8,000歩-9,999歩",2010年,31.0
13,20歳-29歳,無,総数,総数,2010年,204.0
14,20歳-29歳,総数,総数,"10,000歩以上",2010年,52.0
15,20歳-29歳,総数,総数,"2,000歩-3,999歩",2010年,39.0
16,20歳-29歳,総数,総数,"2,000歩未満",2010年,17.0
17,20歳-29歳,総数,総数,"4,000歩-5,999歩",2010年,51.0
18,20歳-29歳,総数,総数,"6,000歩-7,999歩",2010年,53.0
19,20歳-29歳,総数,総数,"8,000歩-9,999歩",2010年,36.0
20,20歳-29歳,総数,総数,総数,2010年,248.0
21,30歳-39歳,有,総数,"10,000歩以上",2010年,36.0
22,30歳-39歳,有,総数,"2,000歩-3,999歩",2010年,9.0
23,30歳-39歳,有,総数,"2,000歩未満",2010年,4.0
24,30歳-39歳,有,総数,"4,000歩-5,999歩",2010年,21.0
25,30歳-39歳,有,総数,"6,000歩-7,999歩",2010年,24.0
26,30歳-39歳,有,総数,"8,000歩-9,999歩",2010年,19.0
27,30歳-39歳,有,総数,総数,2010年,113.0
28,30歳-39歳,無,総数,"10,000歩以上",2010年,68.0
29,30歳-39歳,無,総数,"2,000歩-3,999歩",2010年,82.0
30,30歳-39歳,無,総数,"2,000歩未満",2010年,21.0
31,30歳-39歳,無,総数,"4,000歩-5,999歩",2010年,110.0
32,30歳-39歳,無,総数,"6,000歩-7,999歩",2010年,92.0
33,30歳-39歳,無,総数,"8,000歩-9,999歩",2010年,77.0
34,30歳-39歳,無,総数,総数,2010年,452.0
