row,展示会名,会期(開始),開始曜日,会期(終了),終了曜日,利用施設,開催時間,最終日の終了時刻（●:30分前に終了　▲:1時間前に終了　■:2時間前に終了）,来場対象者,入場料について,内容,連絡先,TEL,URL
1,2024年春期セブン-イレブン商品展示会,2024/04/03,水,2024/04/05,金,南1・2,,,,,,,,
2,インターペット～人とペットの豊かな暮らしフェア～,2024/04/04,木,2024/04/07,日,東1-4・7・8,10:00-17:00,,商談/一般,未定ウェブをご参照ください,人とペットの豊かな暮らしをテーマにペットとの楽しいライフスタイルを提案する見本市,インターペット事務局,,https://interpets.jp.messefrankfurt.com/tokyo/ja.html
3,JKCサクラ・アニュアル・ショー2024,2024/04/05,金,2024/04/07,日,東5・6,7:30-18:00,▲,一般,￥1500 (前売あり)ウェブをご参照ください事務局へお問合せください,犬の展覧会と各種競技会,一般社団法人ジャパンケネルクラブ　川村智和,03-3251-1651,https://www.jkc.or.jp/
4,CYCLE MODE TOKYO 2024,2024/04/06,土,2024/04/07,日,西3・4、南3・4,10:00-18:00,▲,商談/一般,￥1400 (前売あり)ウェブをご参照ください,世界中から完成車や関連ブランドが集まる日本最大のスポーツ自転車フェス,サイクルモード事務局,06-6947-0284,
5,Takeoff Tokyo 2024,2024/04/10,水,2024/04/11,木,南3,10:00-18:00,▲,商談,14900ウェブをご参照ください,世界を目指す起業家向けのピッチイベント・カンファレンス「Takeoff Tokyo」,Takeoff Tokyo,,https://www.takeoff-tokyo.com/
6,Sea Japan 2024,2024/04/10,水,2024/04/12,金,東1-3,10:00-17:00,,商談,無料 (要登録),日本海事産業のための国際展示会,Sea Japan運営事務局,03-5296-1020,https://www.seajapan.ne.jp/
7,Offshore & Port Tech 2024,2024/04/10,水,2024/04/12,金,東1-3,10:00-17:00,,商談,無料 (要登録),「海」の最新情報を発信するオフショア・港湾技術の専門展示会,Sea Japan/Offshore &Port Tech 2024運営事務局,03-5296-1020,https://www.seajapan.ne.jp/ot/
8,第27回ファベックス2024,2024/04/10,水,2024/04/12,金,東4-7,10:00-17:00,,商談,￥5000 (事前登録者無料),惣菜・デリカ・弁当・中食・外食・給食・配食の業務用専門展,日本食糧新聞社,03-3537-1077,https://www.fabex.jp/outline/fabex.html
9,第21回 デザート・スイーツ＆ベーカリー展,2024/04/10,水,2024/04/12,金,東4-7,10:00-17:00,,商談,￥5000 (事前登録者無料),和菓子＆洋菓子・中食・外食産業の商品開発専門店,日本食糧新聞社,03-3537-1077,https://www.fabex.jp/outline/dessert.html
10,第3回 お米未来展,2024/04/10,水,2024/04/12,金,東4-7,10:00-17:00,,商談,￥5000 (事前登録者無料),米消費拡大に向け米産業のイノベーションによる  新たな需要創造を目指す展示会,日本食糧新聞社,03-3537-1077,https://www.okomemiraiten.com/
