row,展示会名,会期(開始),開始曜日,会期(終了),終了曜日,利用施設,開催時間,最終日の終了時刻（●:30分前に終了 ▲:1時間前に終了 ■:2時間前に終了）,来場対象者,入場料について,内容,連絡先,TEL,URL
1,東京キャンピングカーショー2023,2023/07/01,土,2023/07/02,日,東7・8,11:00-18:00,▲,一般,1200ウェブをご参照ください,キャンピングカー＆キャンピングトレーラー　アウトドア用品等展示即売会,東京キャンピングカーショー2023実行委員会事務局,,https://jrva-event.com/event/tokyo2023/
2,第25回 インターフェックスWeek東京,2023/07/05,水,2023/07/07,金,東1-7,10:00-17:00,,商談,￥5000 (招待券持参者無料)事務局へお問合せください,医薬品・化粧品向け研究・製造技術が一堂に出展する専門技術展,インターフェックスWeek東京 事務局,03-6739-4109,https://www.interphex.jp/tokyo/ja-jp.html
3,第2回 資産運用EXPO【夏】,2023/07/07,金,2023/07/09,日,西1・2,10:00-18:00,▲,一般,￥5000 (事前登録者無料),日本最大級／投資商品の総合展（株式、不動産、保険、金などの投資商品が一堂に出展）,主催者 RX Japan株式会社,03-6739-4115,https://www.am-expo.jp/tokyo-2/ja-jp.html
4,TOKYO JEWELRY FES 23 Summer,2023/07/07,金,2023/07/09,日,西4,10:00-18:00,▲,一般,￥1500 (事前登録者無料),あらゆるジュエリー・素材が集まる、消費者向け大規模ジュエリーイベント,TOKYO JEWELRY FES 事務局,048-233-9247,https://www.jewelry-fes.jp/tokyo/ja-jp.html
5,DREAMDAZE,2023/07/08,土,2023/07/09,日,有明GYM-EX,10:30-19:00,,一般,6000ウェブをご参照ください,オリジナルフードを提供するDD KITCHENや開催記念グッズを展開するDD STOREが登場！,株式会社MIXI,,https://event-info.monster-strike.com/dreamdaze/2023/
6,ビジネスイノベーションJapan 2023【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),VUCA・ニューノーマル時代の経営課題解決のための総合展,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bij-expo.jp/summer
7,第4回 働き方改革Week【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),企業・店舗の働き方改革を実現するための展示会,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bizcrew.jp/expo-exhibit/workstyle-reform
8,第2回 経営支援EXPO【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),日本初！経営層・経営企画・事業責任者向け  経営課題を解決するための総合展,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bij-expo.jp/executive
9,第1回 SDGs・ESG支援EXPO【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),企業のSDGs推進・ESG投資・脱炭素経営を実現するための展示会,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bij-expo.jp/sdgs-esg
10,第1回 ウェルビーイングEXPO【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),健康経営・福利厚生・従業員満足度向上などのサービスが一堂に出展する展示会,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bij-expo.jp/well-being
11,第1回 人材育成・採用支援EXPO【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),人材育成・採用支援サービスが一堂に出展する展示会,ビジネスイノベーションJapan実行委員会,03-5715-6012,https://www.bizcrew.jp/expo-exhibit/talent
12,第1回  AI World【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),企業・店舗のAI導入・活用を促進する展示会,AI World実行委員会,03-5715-6012,https://www.ai-world.jp/
13,DX EXPO 2023【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),日本最大級！企業DX化を実現するための展示会,DX EXPO実行委員会,03-5715-6012,https://www.bizcrew.jp/expo/2023-dx-smr-tokyo
14,第4回 人事・労務 DX EXPO【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),日本最大級！人事・労務・採用業務のDX化を実現するための展示会,DX EXPO実行委員会,03-5715-6012,https://www.dx-expo.jp/personnel-labor
15,第4回 経理・財務 DX EXPO【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),日本最大級！経理・財務・会計業務のDX化を促進する展示会,DX EXPO実行委員会,03-5715-6012,https://www.dx-expo.jp/accounting-finance
16,第4回 法務 DX EXPO【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),日本最大級！法務・知財業務のDX化を実現するための展示会,DX EXPO実行委員会,03-5715-6012,https://www.dx-expo.jp/judicial-affairs
17,第4回 マーケティング DX EXPO【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),日本最大級！マーケティングのDX化を実現するための展示会,DX EXPO実行委員会,03-5715-6012,https://www.dx-expo.jp/marketing
18,第4回 営業 DX EXPO【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),日本最大級！営業のDX化を実現するための展示会,DX EXPO実行委員会,03-5715-6012,https://www.dx-expo.jp/sales
19,第4回 業務改革 DX EXPO【夏】,2023/07/11,火,2023/07/13,木,西1・2,10:00-17:00,,商談,無料 (要登録),日本最大級！業務改革・業務効率化を実現するためのDX展示会,DX EXPO実行委員会,03-5715-6012,https://www.dx-expo.jp/business-reform
20,国際モダンホスピタルショウ2023,2023/07/12,水,2023/07/14,金,東1-3,10:00-17:00,,商談,無料 (要登録),保健・医療・福祉分野における最新システムやサービス、機器、製品の総合展示会,ホスピタルショウ事務局,03-3403-8615,https://www.noma-hs.com/
21,MF-TOKYO 2023 第7回プレス・板金・フォーミング展,2023/07/12,水,2023/07/15,土,東4-7,9:00-17:00,▲,商談,￥1000 (事前登録者無料),国内唯一のプレスや板金（レーザ加工機含む）・フォーミングなどの鍛圧機械専門展示会,MF-TOKYO 2023 運営事務局,03-5644-7221,https://www.mf-tokyo.jp/j/
22,第4回有明骨董ワールド,2023/07/14,金,2023/07/16,日,南3,10:00-17:00,,一般,￥1000 (前売あり),「骨董ジャンボリー」を名称変更して開催する国内最大級の骨董アンティークイベント,有明骨董ワールド事務局,03-5983-5101,https://www.kottouichi.com
23,賃貸住宅フェア2023 in 東京,2023/07/19,水,2023/07/20,木,西1・2,10:00-17:00,,商談/一般,無料 (要登録),賃貸不動産会社と家主のためのセミナー＆展示会,賃貸住宅フェア2023事務局,050-3138-2476,https://zenchin-fair.com/
24,リフォーム産業フェア,2023/07/19,水,2023/07/20,木,西3・4,10:00-17:00,,商談,￥3000 (事前登録者無料),住宅リフォームをメインテーマに、住宅市場のトレンドと最新情報を提供。,株式会社リフォーム産業新聞社,,https://the-bars.com/
25,第18回ライフスタイルWeek（夏）,2023/07/19,水,2023/07/21,金,東4-7,10:00-18:00,▲,商談,￥5000 (招待券持参者無料),前回比1.5倍！関連9展で1，000社が出展 雑貨・文具・ファッション・美容・食器の商談展,主催者 RX Japan株式会社,03-3349-8505,https://www.lifestyle-expo.jp/summer/ja-jp.html
26,国際 雑貨 EXPO【夏】,2023/07/19,水,2023/07/21,金,東4-7,10:00-18:00,▲,商談,￥5000 (招待券持参者無料),ギフト、バラエティ雑貨、生活用品、アウトドアグッズなど生活を彩る雑貨が出展,主催者 RX Japan株式会社,03-3349-8505,https://www.lifestyle-expo.jp/summer/ja-jp/about/giftex.html
27,国際 ベビー＆キッズ EXPO【夏】,2023/07/19,水,2023/07/21,金,東4-7,10:00-18:00,▲,商談,￥5000 (招待券持参者無料),ベビー業界日本最大級の商談展。知育玩具、こども服、パパ・ママグッズなど出展,主催者 RX Japan株式会社,03-3349-8505,https://www.lifestyle-expo.jp/summer/ja-jp/about/bk.html
28,国際 ファッション雑貨 EXPO【夏】,2023/07/19,水,2023/07/21,金,東4-7,10:00-18:00,▲,商談,￥5000 (招待券持参者無料),バッグ、革小物、アクセサリーなど最先端のファッション雑貨が出展,主催者 RX Japan株式会社,03-3349-8505,https://www.lifestyle-expo.jp/summer/ja-jp/about/fa.html
29,国際 テーブル＆キッチンウェア EXPO【夏】,2023/07/19,水,2023/07/21,金,東4-7,10:00-18:00,▲,商談,￥5000 (招待券持参者無料),食器、カトラリー、陶磁器、漆器など食卓を彩るキッチン雑貨が出展,主催者 RX Japan株式会社,03-3349-8505,https://www.lifestyle-expo.jp/summer/ja-jp/about/tk.html
30,国際 ヘルス&ビューティグッズ EXPO【夏】,2023/07/19,水,2023/07/21,金,東4-7,10:00-18:00,▲,商談,￥5000 (招待券持参者無料),美容雑貨、ケア用品、美容家電などビューティ製品・ヘルスケアグッズが出展,主催者 RX Japan株式会社,03-3349-8505,https://www.lifestyle-expo.jp/summer/ja-jp/about/hb.html
31,国際 サステナブルグッズ EXPO【夏】,2023/07/19,水,2023/07/21,金,東4-7,10:00-18:00,▲,商談,￥5000 (招待券持参者無料),エコ・エシカル・オーガニック・フェアトレード製品など環境配慮アイテムが出展,主催者 RX Japan株式会社,03-3349-8505,https://www.lifestyle-expo.jp/summer/ja-jp/about/sg.html
32,Good Foods EXPO【夏】,2023/07/19,水,2023/07/21,金,東4-7,10:00-18:00,▲,商談,￥5000 (事前登録者無料),地産品・インポート・美容食・ギフトなど出展する『食と暮らしの商談展』,主催者 RX Japan株式会社,03-3349-8505,https://www.lifestyle-expo.jp/summer/ja-jp/about/fd.html
33,国際 文具・紙製品展-ISOT-,2023/07/19,水,2023/07/21,金,東4-7,10:00-18:00,▲,商談,￥5000 (事前登録者無料),文具、筆記具、ファイル、ノートなど最新のデザイン・機能・サステナブル文具が出展,主催者 RX Japan株式会社,03-3349-8505,https://www.lifestyle-expo.jp/summer/ja-jp/about/isot.html
34,DESIGN TOKYO-国際デザイン製品展-,2023/07/19,水,2023/07/21,金,東4-7,10:00-18:00,▲,商談,￥5000 (事前登録者無料),最先端のデザイン製品が一堂に出展。 “売れるデザイン”を発信し続ける展示会,主催者 RX Japan株式会社,03-3349-8505,https://www.lifestyle-expo.jp/summer/ja-jp/about/dt.html
